,,error_bound,error_bound,error_bound,error_bound,error_bound,error_bound,error_bound,error_bound,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
feature_set,defense,,,,,,,,,,,,,,,,
liberatore,session-random-255,50.0,0.15420588376433725,0.017774162612217686,0.120993670909124,0.1428717724025928,0.1520178597436892,0.16354535413582644,0.217233541100547,50.0,0.155763518953876,0.01795369960830069,0.1222158292011353,0.14431492161878054,0.15355339368049414,0.1651973274099257,0.2194278192934818
liberatore,session-random-gaussian,50.0,0.41006768179252356,0.014008539398192401,0.3792365433328546,0.4004388902975447,0.4091735626363955,0.4191835784203565,0.4541828670152474,50.0,0.4142097795884076,0.014150039796153953,0.3830672154877319,0.40448372757327744,0.41330662892565206,0.4234177559801581,0.4587705727426742
panchenko,none,50.0,0.05111332740732463,0.015448328248333736,0.0258884919263748,0.039624200238770925,0.05046891634551695,0.05946271813306025,0.0995001403705893,50.0,0.05162962364376225,0.015604371968013876,0.026149991844823,0.0400244446856272,0.050978703379310056,0.06006335164955577,0.1005051922935246
panchenko,packet-random-255,50.0,0.10756436461092658,0.019710242149263812,0.0698652272628753,0.09348972475191793,0.10951269885841375,0.11956971595149297,0.1575932484656313,50.0,0.10865087334437028,0.01990933550430689,0.070570936629167,0.09443406540597767,0.11061888773577144,0.12077749086009393,0.1591850994602337
panchenko,packet-random-gaussian,50.0,0.10347431955344492,0.01971207485291384,0.0638061757925611,0.0899153848760445,0.10676196718235735,0.11650549318153647,0.1551586977155478,50.0,0.10451951470044939,0.019911186720114993,0.0644506826187486,0.09082362108691361,0.10784037089127005,0.11768231634498638,0.1567259572884322
panchenko,session-random-255,50.0,0.1425676215957369,0.01837351235673056,0.1047966335355473,0.13197883183915762,0.13918399277781934,0.15578154299546276,0.2000651925633356,50.0,0.14400769858155246,0.018559103390636923,0.1058551853894417,0.13331195135268448,0.140589891694767,0.1573550939348109,0.2020860530942784
panchenko,session-random-gaussian,50.0,0.2456503137315209,0.019688924683296877,0.2056620626286141,0.2317556743179741,0.24501837993137493,0.255678583523429,0.3038914080118222,50.0,0.24813163003183936,0.019887802710400884,0.2077394572006203,0.2340966407252263,0.24749331306199496,0.25826119547821114,0.3069610181937597
vng++,none,50.0,0.1038467722319046,0.01756198570793531,0.0639130710349054,0.0947489968687293,0.1025628903756194,0.1134920270468171,0.1618261052170262,50.0,0.10489572952717637,0.017739379502964957,0.0645586576110156,0.09570605744316095,0.10359887916729224,0.1146384111584011,0.1634607123404305
vng++,packet-random-255,50.0,0.13326787724844757,0.01869960633608174,0.0918619259824244,0.12145324803176617,0.1330038563077418,0.14584459552898854,0.1800166668381379,50.0,0.13461401742267431,0.018888491248567424,0.0927898242246711,0.1226800485169356,0.1343473296037796,0.14731777326160458,0.1818350170082201
vng++,packet-random-gaussian,50.0,0.12391506252364896,0.01795330489198328,0.0827591279048325,0.11252260496401206,0.1260638200540325,0.13634626198721672,0.1748386662751968,50.0,0.12516672982186766,0.01813465140604372,0.08359507869175,0.1136591969333455,0.1273371919737702,0.1377234969567846,0.1766047134092897
vng++,session-random-255,50.0,0.1721635716433885,0.019804422050254105,0.1252191028936868,0.15826630618873272,0.1746889728257649,0.18463040626808686,0.232566834631596,50.0,0.17390259761958432,0.02000446671742838,0.1264839423168553,0.1598649557461947,0.176453507904813,0.18649535986675442,0.2349159945773697
vng++,session-random-gaussian,50.0,0.14940345364561394,0.018612018102389247,0.1082143117514324,0.13819545089989635,0.1486993802615387,0.16128754645866025,0.209140857772671,50.0,0.1509125794400141,0.018800018285241672,0.1093073856075075,0.13959136454534982,0.1502013942035744,0.1629167135946063,0.2112533916895667
