dataset,defense,feature_set,error_bound,epsilon,closed_world
liberatore,session-random-gaussian,panchenko,0.037242041477658305,0.07448408295531661,False
liberatore,session-random-gaussian,vng++,0.029895659256878444,0.05979131851375689,False
liberatore,session-random-gaussian,CUMUL,0.030077536677273295,0.06015507335454659,False
liberatore,packet-random-gaussian,liberatore,0.1832500621071982,0.3665001242143964,False
liberatore,packet-random-gaussian,herrmann,0.20692390525260998,0.41384781050521996,False
liberatore,packet-random-gaussian,panchenko,0.02566233329602982,0.05132466659205964,False
liberatore,packet-random-gaussian,vng++,0.026166227930169542,0.052332455860339085,False
liberatore,packet-random-gaussian,CUMUL,0.027694958208476055,0.05538991641695211,False
liberatore,session-random-255,liberatore,0.06351848000209173,0.12703696000418346,False
liberatore,session-random-255,herrmann,0.12921298865379222,0.25842597730758443,False
liberatore,session-random-255,panchenko,0.03354354342864746,0.06708708685729492,False
liberatore,session-random-255,vng++,0.033953234192124454,0.06790646838424891,False
liberatore,session-random-255,CUMUL,0.028520484475409714,0.05704096895081943,False
liberatore,packet-random-255,liberatore,0.06995404301789648,0.13990808603579297,False
liberatore,packet-random-255,herrmann,0.14378285474617308,0.28756570949234617,False
liberatore,packet-random-255,panchenko,0.025315726901514467,0.050631453803028935,False
liberatore,packet-random-255,vng++,0.02757816791423216,0.05515633582846432,False
liberatore,packet-random-255,CUMUL,0.02922933822035248,0.05845867644070496,False
liberatore,none,liberatore,0.014430835847420373,0.028861671694840746,False
liberatore,none,herrmann,0.013810759465949498,0.027621518931898997,False
liberatore,none,panchenko,0.015848933512216695,0.03169786702443339,False
liberatore,none,vng++,0.02294745241516483,0.04589490483032966,False
liberatore,none,CUMUL,0.02163162875690922,0.04326325751381844,False
liberatore,session-random-gaussian,liberatore,0.13285501767869076,0.2657100353573815,False
liberatore,session-random-gaussian,herrmann,0.30658833683721576,0.6131766736744315,False
liberatore,session-random-gaussian,panchenko,0.0317169807889671,0.0634339615779342,False
liberatore,session-random-gaussian,vng++,0.02595109479942364,0.05190218959884728,False
liberatore,session-random-gaussian,CUMUL,0.02191835306740058,0.04383670613480116,False
liberatore,packet-random-gaussian,liberatore,0.17460592894408586,0.3492118578881717,False
liberatore,packet-random-gaussian,herrmann,0.24832160200476172,0.49664320400952344,False
liberatore,packet-random-gaussian,panchenko,0.018718610136230905,0.03743722027246181,False
liberatore,packet-random-gaussian,vng++,0.022712776697044728,0.045425553394089456,False
liberatore,packet-random-gaussian,CUMUL,0.02229320471106633,0.04458640942213266,False
liberatore,session-random-255,liberatore,0.054667752947008326,0.10933550589401665,False
liberatore,session-random-255,herrmann,0.12739616784312288,0.25479233568624576,False
liberatore,session-random-255,panchenko,0.02494564875406399,0.04989129750812798,False
liberatore,session-random-255,vng++,0.02792931592025104,0.05585863184050208,False
liberatore,session-random-255,CUMUL,0.023413935272939237,0.046827870545878475,False
liberatore,packet-random-255,liberatore,0.06007967105552929,0.12015934211105858,False
liberatore,packet-random-255,herrmann,0.15654779075157368,0.31309558150314737,False
liberatore,packet-random-255,panchenko,0.021010268917983285,0.04202053783596657,False
liberatore,packet-random-255,vng++,0.023733967524480867,0.04746793504896173,False
liberatore,packet-random-255,CUMUL,0.021149840772678997,0.042299681545357994,False
liberatore,none,liberatore,0.017345336587264643,0.034690673174529285,False
liberatore,none,herrmann,0.015812941180337534,0.03162588236067507,False
liberatore,none,panchenko,0.019460800886150813,0.038921601772301626,False
liberatore,none,vng++,0.02942537015015887,0.05885074030031774,False
liberatore,none,CUMUL,0.024735006369721802,0.049470012739443604,False
liberatore,session-random-gaussian,liberatore,0.14114445664685238,0.28228891329370476,False
liberatore,session-random-gaussian,herrmann,0.29355689148584185,0.5871137829716837,False
liberatore,session-random-gaussian,panchenko,0.04079020173696019,0.08158040347392038,False
liberatore,session-random-gaussian,vng++,0.03376620602230716,0.06753241204461433,False
liberatore,session-random-gaussian,CUMUL,0.025762045518264335,0.05152409103652867,False
liberatore,packet-random-gaussian,liberatore,0.16092816919483183,0.32185633838966365,False
liberatore,packet-random-gaussian,herrmann,0.19257127405413388,0.38514254810826776,False
liberatore,packet-random-gaussian,panchenko,0.0257989073624054,0.0515978147248108,False
liberatore,packet-random-gaussian,vng++,0.03098739320009531,0.06197478640019062,False
liberatore,packet-random-gaussian,CUMUL,0.024870229822943225,0.04974045964588645,False
