dataset,defense,attack,sites,train_offset,train_test_delta,train_examples,test_examples,score
liberatore,session-random-gaussian,CUMUL,128,120,0,45,4,0.818359375
liberatore,packet-random-gaussian,CUMUL,128,120,0,45,4,0.83984375
liberatore,none,CUMUL,128,113,0,45,4,0.8828125
liberatore,session-random-255,CUMUL,128,113,0,45,4,0.857421875
liberatore,packet-random-255,CUMUL,128,113,0,45,4,0.865234375
liberatore,session-random-gaussian,CUMUL,128,113,0,45,4,0.880859375
liberatore,packet-random-gaussian,CUMUL,128,113,0,45,4,0.875
liberatore,none,CUMUL,128,100,0,45,4,0.892578125
liberatore,session-random-255,CUMUL,128,100,0,45,4,0.88671875
liberatore,packet-random-255,CUMUL,128,100,0,45,4,0.88671875
liberatore,session-random-gaussian,CUMUL,128,100,0,45,4,0.880859375
liberatore,packet-random-gaussian,CUMUL,128,100,0,45,4,0.890625
liberatore,none,CUMUL,128,62,0,45,4,0.806640625
liberatore,session-random-255,CUMUL,128,62,0,45,4,0.7890625
liberatore,packet-random-255,CUMUL,128,62,0,45,4,0.796875
liberatore,session-random-gaussian,CUMUL,128,62,0,45,4,0.80078125
liberatore,packet-random-gaussian,CUMUL,128,62,0,45,4,0.810546875
liberatore,none,CUMUL,128,101,0,45,4,0.873046875
liberatore,session-random-255,CUMUL,128,101,0,45,4,0.87109375
liberatore,packet-random-255,CUMUL,128,101,0,45,4,0.859375
liberatore,session-random-gaussian,CUMUL,128,101,0,45,4,0.8671875
liberatore,packet-random-gaussian,CUMUL,128,101,0,45,4,0.865234375
liberatore,none,CUMUL,128,9,0,45,4,0.810546875
liberatore,session-random-255,CUMUL,128,9,0,45,4,0.77734375
liberatore,packet-random-255,CUMUL,128,9,0,45,4,0.802734375
liberatore,session-random-gaussian,CUMUL,128,9,0,45,4,0.79296875
liberatore,packet-random-gaussian,CUMUL,128,9,0,45,4,0.802734375
liberatore,none,CUMUL,128,143,0,45,4,0.828125
liberatore,session-random-255,CUMUL,128,143,0,45,4,0.8203125
liberatore,packet-random-255,CUMUL,128,143,0,45,4,0.80078125
liberatore,session-random-gaussian,CUMUL,128,143,0,45,4,0.822265625
liberatore,packet-random-gaussian,CUMUL,128,143,0,45,4,0.82421875
liberatore,none,CUMUL,128,105,0,45,4,0.837890625
liberatore,session-random-255,CUMUL,128,105,0,45,4,0.83203125
liberatore,packet-random-255,CUMUL,128,105,0,45,4,0.826171875
liberatore,session-random-gaussian,CUMUL,128,105,0,45,4,0.81640625
liberatore,packet-random-gaussian,CUMUL,128,105,0,45,4,0.826171875
liberatore,none,CUMUL,128,125,0,45,4,0.837890625
liberatore,session-random-255,CUMUL,128,125,0,45,4,0.830078125
liberatore,packet-random-255,CUMUL,128,125,0,45,4,0.837890625
liberatore,session-random-gaussian,CUMUL,128,125,0,45,4,0.837890625
liberatore,packet-random-gaussian,CUMUL,128,125,0,45,4,0.837890625
