dataset,defense,attack,sites,train_offset,train_test_delta,train_examples,test_examples,score
liberatore,none,liberatore,128,64,0,4,4,0.931640625
liberatore,none,herrmann,128,186,0,4,4,0.9609375
liberatore,session-random-255,liberatore,128,139,0,4,4,0.181640625
liberatore,session-random-255,herrmann,128,39,0,4,4,0.09765625
liberatore,packet-random-255,liberatore,128,57,0,4,4,0.205078125
liberatore,packet-random-255,herrmann,128,171,0,4,4,0.126953125
liberatore,session-random-gaussian,liberatore,128,80,0,4,4,0.08203125
liberatore,session-random-gaussian,herrmann,128,97,0,4,4,0.03125
liberatore,packet-random-gaussian,liberatore,128,168,0,4,4,0.18359375
liberatore,packet-random-gaussian,herrmann,128,16,0,4,4,0.08203125
liberatore,none,liberatore,128,184,0,4,4,0.875
liberatore,none,herrmann,128,160,0,4,4,0.908203125
liberatore,session-random-255,liberatore,128,132,0,4,4,0.125
liberatore,session-random-255,herrmann,128,149,0,4,4,0.0703125
liberatore,packet-random-255,liberatore,128,43,0,4,4,0.20703125
liberatore,packet-random-255,herrmann,128,35,0,4,4,0.171875
liberatore,session-random-gaussian,liberatore,128,44,0,4,4,0.0546875
liberatore,session-random-gaussian,herrmann,128,74,0,4,4,0.021484375
liberatore,packet-random-gaussian,liberatore,128,41,0,4,4,0.15234375
liberatore,packet-random-gaussian,herrmann,128,66,0,4,4,0.07421875
liberatore,none,liberatore,128,192,0,4,4,0.904296875
liberatore,none,herrmann,128,113,0,4,4,0.931640625
liberatore,session-random-255,liberatore,128,51,0,4,4,0.16015625
liberatore,session-random-255,herrmann,128,149,0,4,4,0.0859375
liberatore,packet-random-255,liberatore,128,104,0,4,4,0.291015625
liberatore,packet-random-255,herrmann,128,63,0,4,4,0.15234375
liberatore,session-random-gaussian,liberatore,128,148,0,4,4,0.08203125
liberatore,session-random-gaussian,herrmann,128,62,0,4,4,0.03125
liberatore,packet-random-gaussian,liberatore,128,46,0,4,4,0.21484375
liberatore,packet-random-gaussian,herrmann,128,4,0,4,4,0.07421875
liberatore,none,liberatore,128,152,0,4,4,0.89453125
liberatore,none,herrmann,128,71,0,4,4,0.90234375
liberatore,session-random-255,liberatore,128,39,0,4,4,0.15234375
liberatore,session-random-255,herrmann,128,176,0,4,4,0.080078125
liberatore,packet-random-255,liberatore,128,47,0,4,4,0.228515625
liberatore,packet-random-255,herrmann,128,46,0,4,4,0.1484375
liberatore,session-random-gaussian,liberatore,128,61,0,4,4,0.05859375
liberatore,session-random-gaussian,herrmann,128,128,0,4,4,0.0234375
liberatore,packet-random-gaussian,liberatore,128,148,0,4,4,0.1796875
liberatore,packet-random-gaussian,herrmann,128,66,0,4,4,0.087890625
liberatore,none,liberatore,128,115,0,4,4,0.869140625
liberatore,none,herrmann,128,97,0,4,4,0.90625
liberatore,session-random-255,liberatore,128,61,0,4,4,0.15234375
liberatore,session-random-255,herrmann,128,78,0,4,4,0.0859375
liberatore,packet-random-255,liberatore,128,58,0,4,4,0.26953125
liberatore,packet-random-255,herrmann,128,141,0,4,4,0.14453125
liberatore,session-random-gaussian,liberatore,128,80,0,4,4,0.0703125
liberatore,session-random-gaussian,herrmann,128,18,0,4,4,0.021484375
liberatore,packet-random-gaussian,liberatore,128,52,0,4,4,0.1796875
liberatore,packet-random-gaussian,herrmann,128,11,0,4,4,0.064453125
liberatore,none,liberatore,128,70,0,4,4,0.8828125
liberatore,none,herrmann,128,133,0,4,4,0.896484375
liberatore,session-random-255,liberatore,128,93,0,4,4,0.1484375
liberatore,session-random-255,herrmann,128,149,0,4,4,0.080078125
liberatore,packet-random-255,liberatore,128,118,0,4,4,0.22265625
liberatore,packet-random-255,herrmann,128,10,0,4,4,0.173828125
liberatore,session-random-gaussian,liberatore,128,91,0,4,4,0.076171875
liberatore,session-random-gaussian,herrmann,128,72,0,4,4,0.033203125
liberatore,packet-random-gaussian,liberatore,128,11,0,4,4,0.154296875
liberatore,packet-random-gaussian,herrmann,128,7,0,4,4,0.072265625
liberatore,none,liberatore,128,10,0,4,4,0.86328125
liberatore,none,herrmann,128,97,0,4,4,0.865234375
liberatore,session-random-255,liberatore,128,65,0,4,4,0.109375
liberatore,session-random-255,herrmann,128,175,0,4,4,0.078125
liberatore,packet-random-255,liberatore,128,78,0,4,4,0.203125
liberatore,packet-random-255,herrmann,128,50,0,4,4,0.09375
liberatore,session-random-gaussian,liberatore,128,99,0,4,4,0.060546875
liberatore,session-random-gaussian,herrmann,128,118,0,4,4,0.033203125
liberatore,packet-random-gaussian,liberatore,128,121,0,4,4,0.16796875
liberatore,packet-random-gaussian,herrmann,128,179,0,4,4,0.037109375
liberatore,none,liberatore,128,125,0,4,4,0.890625
liberatore,none,herrmann,128,64,0,4,4,0.921875
liberatore,session-random-255,liberatore,128,194,0,4,4,0.12890625
liberatore,session-random-255,herrmann,128,130,0,4,4,0.05859375
liberatore,packet-random-255,liberatore,128,36,0,4,4,0.234375
liberatore,packet-random-255,herrmann,128,59,0,4,4,0.158203125
liberatore,session-random-gaussian,liberatore,128,186,0,4,4,0.06640625
