,,error_bound,error_bound,error_bound,error_bound,error_bound,error_bound,error_bound,error_bound,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
feature_set,defense,,,,,,,,,,,,,,,,
liberatore,session-random-255,50.0,0.058050030549324054,0.0037921837087758147,0.0512769436524727,0.0551364281845552,0.0573695832523099,0.060589383112147475,0.0673973420345196,50.0,0.11610006109864815,0.00758436741755164,0.1025538873049455,0.11027285636911043,0.1147391665046199,0.12117876622429505,0.1347946840690392
liberatore,session-random-gaussian,50.0,0.1325632850582724,0.007218836286839139,0.1171075389344551,0.1279299047316454,0.13221701219548235,0.13856198499087924,0.1510139260149351,50.0,0.2651265701165448,0.014437672573678282,0.2342150778689103,0.2558598094632908,0.26443402439096475,0.27712396998175853,0.3020278520298703
panchenko,none,50.0,0.015747038509026444,0.0017107858085363646,0.0132076729450452,0.014488095078909,0.015456556049,0.016700462416771873,0.0202804828750527,50.0,0.031494077018052936,0.003421571617072722,0.0264153458900905,0.028976190157818073,0.030913112098,0.03340092483354385,0.0405609657501055
panchenko,packet-random-255,50.0,0.020609909053897223,0.0023604860457466024,0.0167922880859644,0.01883385415101465,0.02016287854872245,0.021698753423911726,0.0276059289597856,50.0,0.041219818107794494,0.004720972091493203,0.0335845761719289,0.037667708302029375,0.04032575709744495,0.04339750684782353,0.0552118579195712
panchenko,packet-random-gaussian,50.0,0.020588106297485705,0.002637906640390274,0.0163720264472101,0.01873548007676055,0.02001062925897735,0.02187382199899035,0.0284022535654076,50.0,0.04117621259497145,0.005275813280780547,0.0327440528944203,0.037470960153521124,0.040021258517954794,0.04374764399798073,0.0568045071308153
panchenko,session-random-255,50.0,0.030394690024327837,0.0033337981060691376,0.0249456487540639,0.027788389950423875,0.02968848317296345,0.032994946661073124,0.0397635809417109,50.0,0.060789380048655736,0.006667596212138274,0.0498912975081279,0.05557677990084777,0.059376966345927,0.06598989332214635,0.0795271618834218
panchenko,session-random-gaussian,50.0,0.034111982238309524,0.003641613939940224,0.0270389008957633,0.03175357327332147,0.03425987416880605,0.03615816750602347,0.0424156793914805,50.0,0.0682239644766191,0.007283227879880448,0.0540778017915267,0.06350714654664294,0.06851974833761215,0.07231633501204703,0.084831358782961
vng++,none,50.0,0.02464579462331379,0.0033495466826024218,0.0186956250117599,0.02225470693773235,0.02440042033236375,0.02650286445851455,0.0352617741805531,50.0,0.04929158924662763,0.006699093365204852,0.0373912500235198,0.0445094138754647,0.04880084066472755,0.05300572891702918,0.0705235483611063
vng++,packet-random-255,50.0,0.025928313617054836,0.003182615015028159,0.0213708236407438,0.02398453443988275,0.025439925100722,0.027913033402832375,0.0354841655237736,50.0,0.05185662723410972,0.006365230030056315,0.0427416472814877,0.0479690688797656,0.050879850201444,0.05582606680566478,0.0709683310475472
vng++,packet-random-gaussian,50.0,0.02537995649313112,0.0033189558294064608,0.0207054865798719,0.02284224666085195,0.02456508606221415,0.0270491978479738,0.0347524902493689,50.0,0.050759912986262284,0.0066379116588129216,0.0414109731597439,0.04568449332170393,0.049130172124428356,0.054098395695947626,0.0695049804987379
vng++,session-random-255,50.0,0.0313074258510093,0.0034681683187038482,0.0262276176771057,0.028419380166057575,0.030586859064005552,0.03339234676798933,0.0407689003043781,50.0,0.06261485170201865,0.006936336637407708,0.0524552353542114,0.05683876033211515,0.061173718128011145,0.06678469353597868,0.0815378006087563
vng++,session-random-gaussian,50.0,0.028244217016211513,0.003112378998635171,0.0235959516405182,0.0260418183802807,0.0274136077889459,0.029892922425479723,0.0361007235008312,50.0,0.05648843403242307,0.006224757997270345,0.0471919032810365,0.05208363676056143,0.054827215577891844,0.059785844850959446,0.0722014470016625
